CODIGO_IBGE;MUNICIPIO;REGIONAL;PREFEITO;DIRETOR_REGIONAL;ATENDENTE(RAMAL);OBSERVACAO;LINK_IBGE
3504800;Balsamo;ER Sao Jose do Rio Preto;Jose Eduardo Naliati Junior;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/balsamo/panorama
3504909;Bananal;ER Sao Jose dos Campos;William Landim Da Silva;Sem diretor ate o momento;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/bananal/panorama
3505005;Barao de Antonina;ER Itapeva;Rodrigo Waldemar Marques;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/barao-de-antonina/panorama
3505104;Barbosa;ER Aracatuba;Rodrigo Primo Antunes;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/barbosa/panorama
3505203;Bariri;ER Bauru;Airton Luis Pegoraro;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/bariri/panorama
3505302;Barra Bonita;ER Bauru;Manoel Fabiano Ferreira Filho;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/barra-bonita/panorama
3505351;Barra do Chapeu;ER Itapeva;Ivanil Norberto Pereira Nolasco;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/barra-do-chapeu/panorama
3505401;Barra do Turvo;ER Vale do Ribeira;Victor Maruyama;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/barra-do-turvo/panorama
3505500;Barretos;ER Barretos;Odair De Moura E Silva;Raphael Dutra;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/barretos/panorama
3505609;Barrinha;ER Ribeirao Preto;Maria Lucia Teresinha Grotta;Rogerio Rossini (Pio);Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/barrinha/panorama
3505708;Barueri;ER Sao Paulo;Jose Roberto Piteri;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/barueri/panorama
3505807;Bastos;ER Marilia;Kleber Lopes De Sousa;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/bastos/panorama
3505906;Batatais;ER Franca;Luis Fernando Benedini Gaspar Júnior;Valter Sene;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/batatais/panorama
3506003;Bauru;ER Bauru;Suellen Silva Rosim;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/bauru/panorama
3506102;Bebedouro;ER Barretos;Lucas Gibin Seren;Raphael Dutra;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/bebedouro/panorama
3506201;Bento de Abreu;ER Aracatuba;Terezinha Do Carmo Salesse;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/bento-de-abreu/panorama
3506300;Bernardino de Campos;ER Marilia;Wilson Jose Garcia;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/bernardino-de-campos/panorama
3506359;Bertioga;ER Baixada Santista;Marcelo Heleno Vilares;Sizue Yamaguti;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/bertioga/panorama
3506409;Bilac;ER Aracatuba;Antônio Ferreira Loureiro;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/bilac/panorama
3506508;Birigui;ER Aracatuba;Samanta Paula Albani Borini;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/birigui/panorama
3506607;Biritiba Mirim;ER Sao Paulo;Carlos Alberto Taino Junior;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/biritiba-mirim/panorama
3506706;Boa Esperanca do Sul;ER Araraquara;Jose Manoel De Souza;Jorge Bredan;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/boa-esperanca-do-sul/panorama
3506805;Bocaina;ER Bauru;Caio Augusto Crepaldi;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/bocaina/panorama
3506904;Bofete;ER Sorocaba;Eugênio Carlos Alves;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/bofete/panorama
3507001;Boituva;ER Sorocaba;Edson Jose Marcusso;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/boituva/panorama
3507100;Bom Jesus dos Perdoes;ER Campinas;Sergio Ferreira;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/bom-jesus-dos-perdoes/panorama
3507159;Bom Sucesso de Itarare;ER Itapeva;Dirceu Pacheco De Oliveira;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/bom-sucesso-de-itarare/panorama
3507209;Bora;ER Marilia;Luiz Carlos Rodrigues;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/bora/panorama
3507308;Boraceia;ER Bauru;Marcos Vinicio Bilancieri;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/boraceia/panorama
3507407;Borborema;ER Araraquara;Sheila Maria Gonçalves De Oliveira;Jorge Bredan;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/borborema/panorama
3507456;Borebi;ER Bauru;Anderson Pinheiro Goes;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/borebi/panorama
3507506;Botucatu;ER Sorocaba;Fábio Vieira De Souza Leite;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/botucatu/panorama
3507605;Braganca Paulista;ER Campinas;Edmir Jose Abi Chedid;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/braganca-paulista/panorama
3507704;Brauna;ER Aracatuba;Maicon Aparecido Subires Ribeiro;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/brauna/panorama
3507753;Brejo Alegre;ER Aracatuba;Rafael Alves Dos Santos;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/brejo-alegre/panorama
3507803;Brodowski;ER Ribeirao Preto;Fábio Maximiniano Vercezi Severi;Rogerio Rossini (Pio);Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/brodowski/panorama
3507902;Brotas;ER Campinas;Alexsandra Berto Brandão;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/brotas/panorama
3508009;Buri;ER Itapeva;Germano Almeida Peschel;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/buri/panorama
