CODIGO_IBGE;MUNICIPIO;REGIONAL;mun_s_acento
3516705;Garï؟½a;ER Marilia;Garca
3516804;Gastأ£o Vidigal;ER Aracatuba;Gastao Vidigal
3516853;Gaviï؟½o Peixoto;ER Araraquara;Gaviao Peixoto
3516903;General Salgado;ER Aracatuba;General Salgado
3517000;Getulina;ER Bauru;Getulina
3517109;Glicأ©rio;ER Aracatuba;Glicerio
3517208;Guaiï؟½ara;ER Bauru;Guaiara
3517307;Guaimbï؟½;ER Bauru;Guaimbe
3517406;Guaï؟½ra;ER Barretos;Guaira
3517505;Guapiaï؟½u;ER Sao Jose do Rio Preto;Guapiacu
3517604;Guapiara;ER Itapeva;Guapiara
3517703;Guarï؟½;ER Franca;Guara
3517802;Guaraأ§aأ­;ER Aracatuba;Guaraca
3517901;Guaraci;ER Barretos;Guaraci
3518008;Guarani D'Oeste;ER Sao Jose do Rio Preto;Guarani D'Oeste
3518107;Guarantï؟½;ER Bauru;Guaranta
3518206;Guararapes;ER Aracatuba;Guararapes
3518305;Guararema;ER Sao Paulo;Guararema
3518404;Guaratinguetï؟½;ER Sao Jose dos Campos;Guaratingueta
3518503;Guareï؟½;ER Sorocaba;Guare
3518602;Guariba;ER Ribeirao Preto;Guariba
3518701;Guarujï؟½;ER Baixada Santista;Guaruja
3518800;Guarulhos;ER Sao Paulo;Guarulhos
3518859;Guataparï؟½;ER Ribeirao Preto;Guatapara
3518909;Guzolأ¢ndia;ER Aracatuba;Guzolandia
3519006;Herculï؟½ndia;ER Marilia;Herculandia
3519055;Holambra;ER Campinas;Holambra
3519071;Hortolï؟½ndia;ER Campinas;Hortolandia
3519105;Iacanga;ER Bauru;Iacanga
3519204;Iacri;ER Marilia;Iacri
3519253;Iaras;ER Sorocaba;Iaras
3519303;Ibatï؟½;ER Araraquara;Ibate
3519402;Ibirï؟½;ER Sao Jose do Rio Preto;Ibira
3519501;Ibirarema;ER Marilia;Ibirarema
3519600;Ibitinga;ER Araraquara;Ibitinga
3519709;Ibiï؟½na;ER Sorocaba;Ibiuna
3519808;Icï؟½m;ER Sao Jose do Rio Preto;Icem
3519907;Iepï؟½;ER Presidente Prudente;Iepe
3520004;Igaraï؟½u do Tietï؟½;ER Bauru;Igaracu do Tiete
3520103;Igarapava;ER Franca;Igarapava
3520202;Igaratï؟½;ER Sao Jose dos Campos;Igarata
3520301;Iguape;ER Vale do Ribeira;Iguape
3520400;Ilhabela;ER Sao Jose dos Campos;Ilhabela
3520426;Ilha Comprida;ER Vale do Ribeira;Ilha Comprida
3520442;Ilha Solteira;ER Aracatuba;Ilha Solteira
3520509;Indaiatuba;ER Campinas;Indaiatuba
3520608;Indiana;ER Presidente Prudente;Indiana
3520707;Indiaporï؟½;ER Sao Jose do Rio Preto;Indiapora
3520806;Inï؟½bia Paulista;ER Presidente Prudente;Inubia Paulista
3520905;Ipaussu;ER Marilia;Ipaussu
3521002;Iperï؟½;ER Sorocaba;Ipero
3521101;Ipeï؟½na;ER Campinas;Ipeuna
3521150;Ipiguï؟½;ER Sao Jose do Rio Preto;Ipigua
3521200;Iporanga;ER Itapeva;Iporanga
3521309;Ipuï؟½;ER Franca;Ipun
3521408;Iracemï؟½polis;ER Campinas;Iracemapolis
3521507;Irapuï؟½;ER Sao Jose do Rio Preto;Irapua
3521606;Irapuru;ER Presidente Prudente;Irapuru
3521705;Itaberï؟½;ER Itapeva;Itabera
3521804;Itaï؟½;ER Itapeva;Itai
3521903;Itajobi;ER Sao Jose do Rio Preto;Itajobi
3522000;Itaju;ER Bauru;Itaju
3522109;Itanhaï؟½m;ER Baixada Santista;Itanhaem
3522158;Itaï؟½ca;ER Itapeva;Itaica
3522208;Itapecerica da Serra;ER Sao Paulo;Itapecerica da Serra
3522307;Itapetininga;ER Sorocaba;Itapetininga
3522406;Itapeva;ER Itapeva;Itapeva
3522505;Itapevi;ER Sao Paulo;Itapevi
3522604;Itapira;ER Campinas;Itapira
3522653;Itapirapuï؟½ Paulista;ER Itapeva;Itapirapua Paulista
3522703;Itï؟½polis;ER Araraquara;Itapolis
3522802;Itaporanga;ER Itapeva;Itaporanga
3522901;Itapuï؟½;ER Bauru;Itapui
3523008;Itapura;ER Aracatuba;Itapura
3523107;Itaquaquecetuba;ER Sao Paulo;Itaquaquecetuba
3523206;Itararï؟½;ER Itapeva;Itarare
3523305;Itariri;ER Vale do Ribeira;Itariri
3523404;Itatiba;ER Campinas;Itatiba
3523503;Itatinga;ER Sorocaba;Itatinga
3523602;Itirapina;ER Campinas;Itirapina
3523701;Itirapuï؟½;ER Franca;Itirapua
3523800;Itobi;ER Campinas;Itobi
3523909;Itu;ER Sorocaba;Itu
3524006;Itupeva;ER Campinas;Itupeva
3524105;Ituverava;ER Franca;Ituverava
3524204;Jaborandi;ER Barretos;Jaborandi
3524303;Jaboticabal;ER Ribeirao Preto;Jaboticabal
3524402;Jacareï؟½;ER Sao Jose dos Campos;Jacarei
3524501;Jaci;ER Sao Jose do Rio Preto;Jaci
3524600;Jacupiranga;ER Vale do Ribeira;Jacupiranga
3524709;Jaguariï؟½na;ER Campinas;Jaguariuna
3524808;Jales;ER Sao Jose do Rio Preto;Jales
3524907;Jambeiro;ER Sao Jose dos Campos;Jambeiro
3525003;Jandira;ER Sao Paulo;Jandira
3525102;Jardinï؟½polis;ER Ribeirao Preto;Jardinopolis
3525201;Jarinu;ER Campinas;Jarinu
3525300;Jaï؟½;ER Bauru;Jau
3525409;Jeriquara;ER Franca;Jeriquara
3525508;Joanï؟½polis;ER Campinas;Joanopolis
3525607;Joï؟½o Ramalho;ER Marilia;Joao Ramalho
3525706;Josï؟½ Bonifï؟½cio;ER Sao Jose do Rio Preto;Jose Bonifacio
3525805;Jï؟½lio Mesquita;ER Marilia;Julio Mesquita
3525854;Jumirim;ER Sorocaba;Jumirim
3525904;Jundiaï؟½;ER Campinas;Jundiai
3526001;Junqueirï؟½polis;ER Presidente Prudente;Junqueiropolis
3526100;Juquiï؟½;ER Vale do Ribeira;Juquia
3526209;Juquitiba;ER Sao Paulo;Juquitiba
3526308;Lagoinha;ER Sao Jose dos Campos;Lagoinha
3526407;Laranjal Paulista;ER Sorocaba;Laranjal Paulista
3526506;Lavأ­nia;ER Aracatuba;Lavinia
3526605;Lavrinhas;ER Sao Jose dos Campos;Lavrinhas
3526704;Leme;ER Campinas;Leme
3526803;Lenï؟½ï؟½is Paulista;ER Bauru;Lencolis Paulista
3526902;Limeira;ER Campinas;Limeira
3527009;Lindï؟½ia;ER Campinas;Lindoa
3527108;Lins;ER Bauru;Lins
3527207;Lorena;ER Sao Jose dos Campos;Lorena
3527256;Lourdes;ER Aracatuba;Lourdes
3527306;Louveira;ER Campinas;Louveira
3527405;Lucï؟½lia;ER Presidente Prudente;Lucelia
3527504;Lucianï؟½polis;ER Bauru;Lucianopolis
3527603;Luis Antï؟½nio;ER Ribeirao Preto;Luis Antonio
3527702;Luiziأ¢nia;ER Aracatuba;Luiziania
3527801;Lupï؟½rcio;ER Marilia;Lupercio
3527900;Lutï؟½cia;ER Marilia;Lutecia
3528007;Macatuba;ER Bauru;Macatuba
3528106;Macaubal;ER Sao Jose do Rio Preto;Macaubal
3528205;Macedï؟½nia;ER Sao Jose do Rio Preto;Macedonia
3528304;Magda;ER Sao Jose do Rio Preto;Magda
3528403;Mairinque;ER Sorocaba;Mairinque
3528502;Mairiporï؟½;ER Sao Paulo;Mairipora
3528601;Manduri;ER Sorocaba;Manduri
3528700;Marabï؟½ Paulista;ER Presidente Prudente;Maraba Paulista
3528809;Maracaï؟½;ER Marilia;Maracai
3528858;Marapoama;ER Sao Jose do Rio Preto;Marapoama
3528908;Mariï؟½polis;ER Presidente Prudente;Mariopolis
3529005;Marï؟½lia;ER Marilia;Marilia
3529104;Marinï؟½polis;ER Sao Jose do Rio Preto;Marinopolis
3529203;Martinï؟½polis;ER Presidente Prudente;Martinopolis
3529302;Matï؟½o;ER Araraquara;Matao
3529401;Mauï؟½;ER Sao Paulo;Maua
3529500;Mendonï؟½a;ER Sao Jose do Rio Preto;Mendonca
3529609;Meridiano;ER Sao Jose do Rio Preto;Meridiano
